Experiment,Time(min),Input 1 Pre,Input 2 Pre,Input 1,Input 2,Observable 1 mean,Observable 1 sd,Observable 2 mean	,Observable 2 sd,Observable 3 mean,Observable 3 sd,Observable 4 mean,Observable 4 sd
1,0,1e-07,100,1e-07,100,1.0592e-07,9.5558e-09,42.181,3.9293,2967.6,276.99,147.44,13.407
1,5,1e-07,100,1e-07,100,1.0612e-07,9.5558e-09,32.023,3.9293,2586,276.99,139.32,13.407
1,10,1e-07,100,1e-07,100,8.9742e-08,9.5558e-09,35.302,3.9293,2402.8,276.99,151.29,13.407
1,15,1e-07,100,1e-07,100,1.031e-07,9.5558e-09,36.949,3.9293,2599.5,276.99,110.77,13.407
1,20,1e-07,100,1e-07,100,9.0511e-08,9.5558e-09,37.826,3.9293,3054.3,276.99,125.18,13.407
1,25,1e-07,100,1e-07,100,9.2286e-08,9.5558e-09,48.643,3.9293,2924.5,276.99,108.29,13.407
1,30,1e-07,100,1e-07,100,8.9231e-08,9.5558e-09,36.757,3.9293,2403.2,276.99,132.98,13.407
1,35,1e-07,100,1e-07,100,9.58e-08,9.5558e-09,36.414,3.9293,2859.8,276.99,139.39,13.407
1,40,1e-07,100,1e-07,100,9.4873e-08,9.5558e-09,31.156,3.9293,2731.7,276.99,153.59,13.407
1,45,1e-07,100,1e-07,100,9.167e-08,9.5558e-09,40.915,3.9293,2836.6,276.99,110.29,13.407
1,50,1e-07,100,1e-07,100,1.0039e-07,9.5558e-09,31.707,3.9293,3533.3,276.99,140.84,13.407
1,55,1e-07,100,1e-07,100,9.9454e-08,9.5558e-09,41.701,3.9293,2965.7,276.99,133.4,13.407
1,60,1e-07,100,1e-07,100,9.2621e-08,9.5558e-09,42.398,3.9293,2819,276.99,131.79,13.407
1,65,1e-07,100,1e-07,100,8.3657e-08,9.5558e-09,41.037,3.9293,3150.1,276.99,145.53,13.407
1,70,1e-07,100,1e-07,100,1.0107e-07,9.5558e-09,40.876,3.9293,2752.1,276.99,145.96,13.407
