Experiment,Time,TR_IPTG,READOUT_Fluorescence,STD_Fluorescence
1,0,957,47.5332729641861,0.475332729641861
1,5,957,23.4342211963114,0.234342211963114
1,10,0,48.9087666064053,0.489087666064053
1,15,0,72.6745365562237,0.726745365562237
1,20,0,115.128340979417,1.15128340979417
1,25,0,134.892902745533,1.34892902745533
1,30,0,148.982076517109,1.48982076517109
1,35,0,144.964432166891,1.44964432166891
1,40,0,163.847484878296,1.63847484878296
1,45,0,183.59496784411,1.8359496784411
1,50,0,166.285503581988,1.66285503581988
1,55,0,163.177077273861,1.63177077273861
1,60,957,170.771881444691,1.70771881444691
1,65,957,189.880009060963,1.89880009060963
1,70,0,189.184398716674,1.89184398716674
1,75,0,193.723769885235,1.93723769885235
1,80,0,211.702559949309,2.11702559949309
1,85,0,225.830568102001,2.25830568102001
1,90,0,222.306508747583,2.22306508747583
1,95,0,214.179699694815,2.14179699694815
1,100,0,218.566042070264,2.18566042070264
1,105,0,242.196675756572,2.42196675756572
1,110,0,245.282742723817,2.45282742723817
1,115,0,210.899893354255,2.10899893354255
1,120,957,205.66824213325,2.0566824213325
1,125,957,231.067911391918,2.31067911391918
1,130,0,216.055846988438,2.16055846988438
1,135,0,208.553520692837,2.08553520692837
1,140,0,196.803474701971,1.96803474701971
1,145,0,246.414971633451,2.46414971633451
1,150,0,260.550080824403,2.60550080824403
1,155,0,239.134069324074,2.39134069324074
1,160,0,244.618543803807,2.44618543803807
1,165,0,244.862159942256,2.44862159942256
1,170,0,253.948450171669,2.53948450171669
1,175,0,236.952370581262,2.36952370581262
1,180,957,214.218603404165,2.14218603404165
1,185,957,222.431745846203,2.22431745846203
1,190,0,249.081336195781,2.49081336195781
1,195,0,231.428592596759,2.31428592596759
1,200,0,243.948785745994,2.43948785745994
1,205,0,242.481606082677,2.42481606082677
1,210,0,254.309936652281,2.54309936652281
1,215,0,214.717687011225,2.14717687011225
1,220,0,262.881925617621,2.62881925617621
1,225,0,220.535905255014,2.20535905255014
1,230,0,241.857138504904,2.41857138504904
1,235,0,248.629809156633,2.48629809156633
1,240,957,244.808364649531,2.44808364649531
1,245,957,215.629846627075,2.15629846627075
1,250,0,265.84146698526,2.6584146698526
1,255,0,256.88933212484,2.5688933212484
1,260,0,245.049612744353,2.45049612744353
1,265,0,261.122022920852,2.61122022920852
1,270,0,275.117830205292,2.75117830205292
1,275,0,231.934955594193,2.31934955594193
1,280,0,256.251231330893,2.56251231330893
1,285,0,261.295942807555,2.61295942807555
1,290,0,272.797431352609,2.72797431352609
1,295,0,234.111792145431,2.34111792145431
1,300,957,275.295526223346,2.75295526223346
1,305,957,259.413222119381,2.59413222119381
1,310,0,242.68813001818,2.4268813001818
1,315,0,238.4366080349,2.384366080349
1,320,0,240.055072110287,2.40055072110287
1,325,0,267.683229946846,2.67683229946846
1,330,0,246.936288640994,2.46936288640994
1,335,0,246.406416304697,2.46406416304697
1,340,0,237.49623117557,2.3749623117557
1,345,0,248.355293096316,2.48355293096316
1,350,0,233.841848902888,2.33841848902888
1,355,0,252.911519171139,2.52911519171139
1,360,957,277.199467886218,2.77199467886218
1,365,957,255.966120468131,2.55966120468131
1,370,0,258.168275146182,2.58168275146182
1,375,0,257.75765676611,2.5775765676611
1,380,0,261.203684783145,2.61203684783145
