Experiment,Time,TR_u_IPTG,TR_u_aTc,READOUT_RFP,READOUT_GFP,STD_RFP,STD_GFP
1,0,1,1.00E-06,1690.51,3.51478,0,0
1,4.983333333,1,1.00E-06,1806.332909,16.73257485,0,0
1,9.983333333,1,1.00E-06,1913.226586,41.24625777,0,0
1,14.91666667,1,1.00E-06,2009.465315,68.76277435,0,0
1,19.98333333,1,1.00E-06,2097.269881,97.49729973,0,0
1,24.93333333,1,1.00E-06,2169.553838,124.730948,0,0
1,29.96666667,1,1.00E-06,2226.274483,150.9898672,0,0
1,34.93333333,1,1.00E-06,2263.383536,175.2940169,0,0
1,39.93333333,1,1.00E-06,2280.994118,198.1614043,0,0
1,44.93333333,1,1.00E-06,2279.492968,219.5406373,0,0
1,49.93333333,1,1.00E-06,2260.721356,239.5955981,0,0
1,54.93333333,1,1.00E-06,2227.141534,258.5040871,0,0
1,59.96666667,1,1.00E-06,2181.059723,276.5570882,0,0
1,64.93333333,1,1.00E-06,2126.039549,293.5669024,0,0
1,69.93333333,1,1.00E-06,2063.351793,310.0305904,0,0
1,74.93333333,1,1.00E-06,1995.315974,325.9623605,0,0
1,79.93333333,1,1.00E-06,1923.597664,341.4775653,0,0
1,84.93333333,1,1.00E-06,1849.572833,356.6771662,0,0
1,89.93333333,1,1.00E-06,1774.363303,371.6490796,0,0
1,94.93333333,1,1.00E-06,1698.874213,386.4695197,0,0
1,99.93333333,1,1.00E-06,1623.829159,401.2042467,0,0
1,104.9333333,1,1.00E-06,1549.80121,415.9096852,0,0
1,109.9333333,1,1.00E-06,1477.239373,430.6339024,0,0
1,114.9333333,1,1.00E-06,1406.490744,445.4174556,0,0
1,119.9333333,1,1.00E-06,1337.818832,460.2941205,0,0
1,124.9333333,1,1.00E-06,1271.418621,475.2915166,0,0
1,129.9333333,1,1.00E-06,1207.428931,490.4316461,0,0
1,134.9333333,1,1.00E-06,1145.942545,505.7313606,0,0
1,139.9333333,1,1.00E-06,1087.014533,521.2027699,0,0
1,144.9333333,1,1.00E-06,1030.669104,536.8536053,0,0
1,149.9666667,1,1.00E-06,976.555463,552.7937224,0,0
1,155.2166667,1,1.00E-06,922.8759169,569.617575,0,0
1,160.2,1,1.00E-06,874.4933682,585.7697344,0,0
1,165.1166667,1,1.00E-06,829.1605502,601.8736012,0,0
1,169.95,1,1.00E-06,786.8643972,617.8579125,0,0
1,174.9666667,1,1.00E-06,745.2739733,634.5972833,0,0
1,180.0833333,1,1.00E-06,705.1992166,651.8110761,0,0
1,184.9333333,1,1.00E-06,669.3207216,668.2425579,0,0
1,189.9333333,1,1.00E-06,634.3972016,685.2806571,0,0
1,194.9666667,1,1.00E-06,601.271475,702.5126797,0,0
1,199.9666667,1,1.00E-06,570.2945412,719.6883228,0,0
1,204.9833333,1,1.00E-06,541.0588135,736.9557658,0,0
1,209.9333333,1,1.00E-06,513.9369034,754.0040379,0,0
1,214.9333333,1,1.00E-06,488.1956687,771.2104335,0,0
1,219.9666667,1,1.00E-06,463.8774801,788.4919705,0,0
1,224.9333333,1,1.00E-06,441.3680004,805.4806418,0,0
