Experiment,Time,TR_u_IPTG,TR_u_aTc,READOUT_RFP_o,READOUT_GFP_o,STD_RFP_o,STD_GFP_o
1,0,1,1e-06,1690.51,3.51478,NaN,NaN
1,4.98333333333333,1,1e-06,1806.33290861824,16.7325748461131,NaN,NaN
1,9.98333333333333,1,1e-06,1913.22658566198,41.246257825908,NaN,NaN
1,14.9166666666667,1,1e-06,2009.46531436756,68.7627735567613,NaN,NaN
1,19.9833333333333,1,1e-06,2097.26987981152,97.4972978261424,NaN,NaN
1,24.9333333333333,1,1e-06,2169.5538395068,124.730945382787,NaN,NaN
1,29.9666666666667,1,1e-06,2226.27448941363,150.989863277504,NaN,NaN
1,34.9333333333333,1,1e-06,2263.38354321698,175.294012214361,NaN,NaN
1,39.9333333333333,1,1e-06,2280.99413281698,198.1614001015,NaN,NaN
1,44.9333333333333,1,1e-06,2279.49299306964,219.540633280145,NaN,NaN
1,49.9333333333333,1,1e-06,2260.72138743393,239.595594191005,NaN,NaN
1,54.9333333333333,1,1e-06,2227.14156621133,258.504082926693,NaN,NaN
1,59.9666666666667,1,1e-06,2181.05975602712,276.557084243353,NaN,NaN
1,64.9333333333333,1,1e-06,2126.03957465052,293.566898140726,NaN,NaN
1,69.9333333333333,1,1e-06,2063.35181468901,310.030585881083,NaN,NaN
1,74.9333333333333,1,1e-06,1995.31599101237,325.962355639495,NaN,NaN
1,79.9333333333333,1,1e-06,1923.59765532249,341.477559159584,NaN,NaN
1,84.9333333333333,1,1e-06,1849.57283422087,356.677160929074,NaN,NaN
1,89.9333333333333,1,1e-06,1774.36330909085,371.649074614239,NaN,NaN
1,94.9333333333333,1,1e-06,1698.87422345336,386.469514443889,NaN,NaN
1,99.9333333333333,1,1e-06,1623.82917671621,401.204241247713,NaN,NaN
1,104.933333333333,1,1e-06,1549.80122859922,415.909679380806,NaN,NaN
1,109.933333333333,1,1e-06,1477.23939673157,430.633896952418,NaN,NaN
1,114.933333333333,1,1e-06,1406.49077053863,445.417450316157,NaN,NaN
1,119.933333333333,1,1e-06,1337.8188629531,460.294115444374,NaN,NaN
1,124.933333333333,1,1e-06,1271.41865577918,475.291511713446,NaN,NaN
1,129.933333333333,1,1e-06,1207.42896570451,490.431640881427,NaN,NaN
1,134.933333333333,1,1e-06,1145.94257001913,505.731353705163,NaN,NaN
1,139.933333333333,1,1e-06,1087.01455823073,521.202763398051,NaN,NaN
1,144.933333333333,1,1e-06,1030.6691305947,536.853598870455,NaN,NaN
1,149.966666666667,1,1e-06,976.555478976765,552.793716519823,NaN,NaN
1,155.216666666667,1,1e-06,922.875926439736,569.617568426926,NaN,NaN
1,160.2,1,1e-06,874.493371745923,585.769727071137,NaN,NaN
1,165.116666666667,1,1e-06,829.160547858549,601.87359239314,NaN,NaN
1,169.95,1,1e-06,786.864392986087,617.857902712176,NaN,NaN
1,174.966666666667,1,1e-06,745.273964132001,634.59727264824,NaN,NaN
1,180.083333333333,1,1e-06,705.199202804067,651.811064764625,NaN,NaN
1,184.933333333333,1,1e-06,669.320704436293,668.242546184518,NaN,NaN
1,189.933333333333,1,1e-06,634.397182058612,685.280645105284,NaN,NaN
1,194.966666666667,1,1e-06,601.271454083034,702.512667957006,NaN,NaN
1,199.966666666667,1,1e-06,570.294519599939,719.688311510415,NaN,NaN
1,204.983333333333,1,1e-06,541.0587916887,736.955755126176,NaN,NaN
1,209.933333333333,1,1e-06,513.936881636409,754.004027990262,NaN,NaN
1,214.933333333333,1,1e-06,488.195647150112,771.210424347094,NaN,NaN
1,219.966666666667,1,1e-06,463.877462340442,788.491963118166,NaN,NaN
1,224.933333333333,1,1e-06,441.367986059095,805.480635934066,NaN,NaN
1,229.933333333333,1,1e-06,420.119352363848,822.494048079271,NaN,NaN
1,234.983333333333,1,1e-06,400.017510065671,839.56135139172,NaN,NaN
1,239.95,1,1e-06,381.505368005779,856.208712192243,NaN,NaN
1,244.933333333333,1,1e-06,364.113626793677,872.750480448151,NaN,NaN
1,249.933333333333,1,1e-06,347.785555613535,889.162150673302,NaN,NaN
1,254.933333333333,1,1e-06,332.515272042962,905.366076929433,NaN,NaN
1,259.95,1,1e-06,318.19377844023,921.394162265048,NaN,NaN
1,264.933333333333,1,1e-06,304.899013239052,937.06813492224,NaN,NaN
1,269.933333333333,1,1e-06,292.435929695088,952.52810583763,NaN,NaN
1,274.933333333333,1,1e-06,280.796336958114,967.704185292301,NaN,NaN
1,279.983333333333,1,1e-06,269.823947611524,982.727977444449,NaN,NaN
1,284.933333333333,1,1e-06,259.784997844458,997.14375407418,NaN,NaN
1,289.95,1,1e-06,250.288275364246,1011.42742312379,NaN,NaN
1,294.933333333333,1,1e-06,241.486794736865,1025.28000647775,NaN,NaN
1,299.95,1,1e-06,233.221776262879,1038.87722005978,NaN,NaN
1,304.933333333333,1,1e-06,225.564753582627,1052.03034641411,NaN,NaN
1,309.933333333333,1,1e-06,218.399986936091,1064.86655207346,NaN,NaN
1,315.2,1,1e-06,211.37668721706,1077.99075594281,NaN,NaN
1,319.983333333333,1,1e-06,205.432635042391,1089.55429955451,NaN,NaN
1,324.933333333333,1,1e-06,199.688279838317,1101.16139131313,NaN,NaN
1,329.95,1,1e-06,194.261103326998,1112.55072452145,NaN,NaN
1,335.266666666667,1,1e-06,188.913428235893,1124.21013788064,NaN,NaN
1,340.016666666667,1,1e-06,184.463688916689,1134.27023081082,NaN,NaN
1,345.05,1,1e-06,180.063404673141,1144.56531493761,NaN,NaN
1,349.983333333333,1,1e-06,176.044132022933,1154.29437341025,NaN,NaN
1,354.933333333333,1,1e-06,172.283744703121,1163.70054658979,NaN,NaN
1,359.933333333333,1,1e-06,168.743802385395,1172.84473435056,NaN,NaN
1,364.933333333333,1,1e-06,165.445995122487,1181.63567321482,NaN,NaN
1,369.933333333333,1,1e-06,162.373835527585,1190.07957538958,NaN,NaN
1,374.95,1,1e-06,159.502725698066,1198.20968374235,NaN,NaN
1,380,1,1e-06,156.811626999684,1206.05533732951,NaN,NaN
1,384.933333333333,1,1e-06,154.362377204167,1213.39944072704,NaN,NaN
1,389.983333333333,1,1e-06,152.0265058535,1220.59754287469,NaN,NaN
1,394.95,1,1e-06,149.88666082346,1227.36975467641,NaN,NaN
1,399.95,1,1e-06,147.879357327692,1233.88843408843,NaN,NaN
1,404.933333333333,1,1e-06,146.015358982171,1240.09568187973,NaN,NaN
1,409.933333333333,1,1e-06,144.272781672613,1246.04199167821,NaN,NaN
1,414.933333333333,1,1e-06,142.649286448925,1251.71521459672,NaN,NaN
