Experiment,Time,TR_u_IPTG,TR_u_aTc,READOUT_RFP,READOUT_GFP,STD_RFP,STD_GFP
1,0,1,1e-06,NaN,NaN,705.376533250823,23.0786033048645
1,4.98333333333333,1,1e-06,NaN,NaN,948.475785214372,19.8703422131545
1,9.98333333333333,1,1e-06,NaN,NaN,829.524240657195,18.0307332891818
1,14.9166666666667,1,1e-06,NaN,NaN,775.012498149639,16.9036418475159
1,19.9833333333333,1,1e-06,NaN,NaN,700.453367407257,16.7876858033419
1,24.9333333333333,1,1e-06,NaN,NaN,701.68008117724,15.938601862367
1,29.9666666666667,1,1e-06,NaN,NaN,720.042990908164,15.7170651784027
1,34.9333333333333,1,1e-06,NaN,NaN,708.524945589801,16.3354048627361
1,39.9333333333333,1,1e-06,NaN,NaN,701.071103167023,17.5015833325981
1,44.9333333333333,1,1e-06,NaN,NaN,684.735715613847,19.6382879928918
1,49.9333333333333,1,1e-06,NaN,NaN,675.905396164196,21.0894544024235
1,54.9333333333333,1,1e-06,NaN,NaN,644.124189244095,22.4074579171797
1,59.9666666666667,1,1e-06,NaN,NaN,636.027216600302,24.1334526060844
1,64.9333333333333,1,1e-06,NaN,NaN,632.95891074854,26.6824283660589
1,69.9333333333333,1,1e-06,NaN,NaN,628.925002238542,28.1795384610657
1,74.9333333333333,1,1e-06,NaN,NaN,616.623278355864,29.295402851774
1,79.9333333333333,1,1e-06,NaN,NaN,597.974902327815,28.8799903983338
1,84.9333333333333,1,1e-06,NaN,NaN,583.315597762993,28.5412128510905
1,89.9333333333333,1,1e-06,NaN,NaN,574.172317705866,29.5433993476107
1,94.9333333333333,1,1e-06,NaN,NaN,564.665536291774,31.0755509207551
1,99.9333333333333,1,1e-06,NaN,NaN,556.709422262515,32.8865109144081
1,104.933333333333,1,1e-06,NaN,NaN,547.715028389655,35.4798549578314
1,109.933333333333,1,1e-06,NaN,NaN,540.070518721427,37.4578782722253
1,114.933333333333,1,1e-06,NaN,NaN,533.960068640819,39.3349724009444
1,119.933333333333,1,1e-06,NaN,NaN,528.944157725758,42.9141523872174
1,124.933333333333,1,1e-06,NaN,NaN,516.612969526425,45.8812146994163
1,129.933333333333,1,1e-06,NaN,NaN,500.151282780392,50.6035444216042
1,134.933333333333,1,1e-06,NaN,NaN,494.053161078224,56.3073423230495
1,139.933333333333,1,1e-06,NaN,NaN,484.543509776061,60.7715997235831
1,144.933333333333,1,1e-06,NaN,NaN,473.733074800254,66.5683174973358
