Experiment,Time,TR_u_IPTG,TR_u_aTc,READOUT_RFP,READOUT_GFP,STD_RFP,STD_GFP
1,0,1,1.00E-06,3761.460255,2.105862534,564.2190382,0.31587938
1,4.983333333,1,1.00E-06,4001.757506,9.711946846,600.263626,1.456792027
1,9.983333333,1,1.00E-06,4258.855007,19.8361877,638.828251,2.975428156
1,14.91666667,1,1.00E-06,4609.222091,36.58960907,691.3833136,5.488441361
1,19.98333333,1,1.00E-06,3948.838023,71.85496866,592.3257034,10.7782453
1,24.93333333,1,1.00E-06,2838.940876,74.99283108,425.8411314,11.24892466
1,29.96666667,1,1.00E-06,4242.930176,105.0396137,636.4395264,15.75594205
1,34.93333333,1,1.00E-06,3408.716386,108.2488402,511.3074579,16.23732603
1,39.93333333,1,1.00E-06,4663.979067,103.5189392,699.59686,15.52784088
1,44.93333333,1,1.00E-06,3917.699937,140.9266753,587.6549906,21.13900129
1,49.93333333,1,1.00E-06,3866.391742,153.974058,579.9587612,23.0961087
1,54.93333333,1,1.00E-06,3270.832216,189.2234856,490.6248324,28.38352284
1,59.96666667,1,1.00E-06,2941.355695,183.6292376,441.2033542,27.54438565
1,64.93333333,1,1.00E-06,2923.621667,244.9544967,438.54325,36.7431745
1,69.93333333,1,1.00E-06,2572.316517,156.5491123,385.8474776,23.48236684
1,74.93333333,1,1.00E-06,2716.58432,253.4710868,407.4876481,38.02066302
1,79.93333333,1,1.00E-06,3534.510444,232.1010776,530.1765666,34.81516164
1,84.93333333,1,1.00E-06,2641.902779,302.9376734,396.2854168,45.440651
1,89.93333333,1,1.00E-06,2775.650738,279.623807,416.3476107,41.94357105
1,94.93333333,1,1.00E-06,3328.222045,359.4114632,499.2333067,53.91171948
1,99.93333333,1,1.00E-06,2400.771393,282.1239978,360.1157089,42.31859967
1,104.9333333,1,1.00E-06,2416.766882,297.387726,362.5150323,44.6081589
1,109.9333333,1,1.00E-06,2637.893243,347.0359285,395.6839864,52.05538927
1,114.9333333,1,1.00E-06,2357.743991,388.6722979,353.6615986,58.30084469
1,119.9333333,1,1.00E-06,2342.107777,284.4343622,351.3161665,42.66515433
1,124.9333333,1,1.00E-06,1974.185897,216.4167629,296.1278846,32.46251443
1,129.9333333,1,1.00E-06,1945.034203,360.5464175,291.7551305,54.08196263
1,134.9333333,1,1.00E-06,2368.631932,397.5486326,355.2947897,59.63229489
1,139.9333333,1,1.00E-06,2366.390264,485.8702543,354.9585395,72.88053814
1,144.9333333,1,1.00E-06,1719.876041,392.014402,257.9814061,58.80216031
1,149.9666667,1,1.00E-06,1453.224347,426.5247712,217.983652,63.97871569
1,155.2166667,1,1.00E-06,1537.79021,477.9704077,230.6685315,71.69556115
1,160.2,1,1.00E-06,1353.047351,405.910195,202.9571027,60.88652925
1,165.1166667,1,1.00E-06,1255.967909,390.5572497,188.3951863,58.58358745
1,169.95,1,1.00E-06,941.8645541,457.4996145,141.2796831,68.62494218
1,174.9666667,1,1.00E-06,973.9726723,357.8282122,146.0959008,53.67423183
1,180.0833333,1,1.00E-06,1196.387355,540.4858225,179.4581033,81.07287338
1,184.9333333,1,1.00E-06,1030.008527,436.1646016,154.501279,65.42469023
1,189.9333333,1,1.00E-06,1295.173051,407.2551475,194.2759576,61.08827212
1,194.9666667,1,1.00E-06,739.2193051,551.1312128,110.8828958,82.66968191
1,199.9666667,1,1.00E-06,834.1913275,601.9195484,125.1286991,90.28793226
1,204.9833333,1,1.00E-06,986.7957311,556.896244,148.0193597,83.53443661
1,209.9333333,1,1.00E-06,930.4640187,640.0203054,139.5696028,96.00304581
1,214.9333333,1,1.00E-06,768.7523498,677.6707729,115.3128525,101.6506159
