Experiment,Time,TR_u_IPTG,TR_u_aTc,READOUT_RFP_o,READOUT_GFP_o,STD_RFP_o,STD_GFP_o
1,0,1,1e-06,NaN,NaN,0,0
1,4.983333333,1,1e-06,NaN,NaN,0,0
1,9.983333333,1,1e-06,NaN,NaN,0,0
1,14.91666667,1,1e-06,NaN,NaN,0,0
1,19.98333333,1,1e-06,NaN,NaN,0,0
1,24.93333333,1,1e-06,NaN,NaN,0,0
1,29.96666667,1,1e-06,NaN,NaN,0,0
1,34.93333333,1,1e-06,NaN,NaN,0,0
1,39.93333333,1,1e-06,NaN,NaN,0,0
1,44.93333333,1,1e-06,NaN,NaN,0,0
1,49.93333333,1,1e-06,NaN,NaN,0,0
1,54.93333333,1,1e-06,NaN,NaN,0,0
1,59.96666667,1,1e-06,NaN,NaN,0,0
1,64.93333333,1,1e-06,NaN,NaN,0,0
1,69.93333333,1,1e-06,NaN,NaN,0,0
1,74.93333333,1,1e-06,NaN,NaN,0,0
1,79.93333333,1,1e-06,NaN,NaN,0,0
1,84.93333333,1,1e-06,NaN,NaN,0,0
1,89.93333333,1,1e-06,NaN,NaN,0,0
1,94.93333333,1,1e-06,NaN,NaN,0,0
1,99.93333333,1,1e-06,NaN,NaN,0,0
1,104.9333333,1,1e-06,NaN,NaN,0,0
1,109.9333333,1,1e-06,NaN,NaN,0,0
1,114.9333333,1,1e-06,NaN,NaN,0,0
1,119.9333333,1,1e-06,NaN,NaN,0,0
1,124.9333333,1,1e-06,NaN,NaN,0,0
1,129.9333333,1,1e-06,NaN,NaN,0,0
1,134.9333333,1,1e-06,NaN,NaN,0,0
1,139.9333333,1,1e-06,NaN,NaN,0,0
1,144.9333333,1,1e-06,NaN,NaN,0,0
1,149.9666667,1,1e-06,NaN,NaN,0,0
1,155.2166667,1,1e-06,NaN,NaN,0,0
1,160.2,1,1e-06,NaN,NaN,0,0
1,165.1166667,1,1e-06,NaN,NaN,0,0
1,169.95,1,1e-06,NaN,NaN,0,0
1,174.9666667,1,1e-06,NaN,NaN,0,0
1,180.0833333,1,1e-06,NaN,NaN,0,0
1,184.9333333,1,1e-06,NaN,NaN,0,0
1,189.9333333,1,1e-06,NaN,NaN,0,0
1,194.9666667,1,1e-06,NaN,NaN,0,0
1,199.9666667,1,1e-06,NaN,NaN,0,0
1,204.9833333,1,1e-06,NaN,NaN,0,0
1,209.9333333,1,1e-06,NaN,NaN,0,0
1,214.9333333,1,1e-06,NaN,NaN,0,0
1,219.9666667,1,1e-06,NaN,NaN,0,0
1,224.9333333,1,1e-06,NaN,NaN,0,0
1,229.9333333,1,1e-06,NaN,NaN,0,0
1,234.9833333,1,1e-06,NaN,NaN,0,0
1,239.95,1,1e-06,NaN,NaN,0,0
1,244.9333333,1,1e-06,NaN,NaN,0,0
1,249.9333333,1,1e-06,NaN,NaN,0,0
1,254.9333333,1,1e-06,NaN,NaN,0,0
1,259.95,1,1e-06,NaN,NaN,0,0
1,264.9333333,1,1e-06,NaN,NaN,0,0
1,269.9333333,1,1e-06,NaN,NaN,0,0
1,274.9333333,1,1e-06,NaN,NaN,0,0
1,279.9833333,1,1e-06,NaN,NaN,0,0
1,284.9333333,1,1e-06,NaN,NaN,0,0
1,289.95,1,1e-06,NaN,NaN,0,0
1,294.9333333,1,1e-06,NaN,NaN,0,0
